sent_id,sent,word_num,un_id,lemma,pos_tag,sense_key,sense_number,hom_type
d000.s000,how long has it been since you reviewed the objectives of your benefit and service program,1,semcor.d000.s000.t000,long,ADJ,long%3:00:02::,long#a#3,100
d000.s100,vending machines can alleviate the long hike to the cafeteria during the break with resulting waste of production time,4,semcor.d000.s100.t002,long,ADJ,long%3:00:01::,long#a#3,100
d001.s081,two millions were added to what had been set aside for it in mrs. meeker &apos;s lifetime and the proviso made that as long as brian thayer continued to discharge his duties as administrator of the fund to the satisfaction of the board of trustees hereinafter appointed by the bank administering the estate he was to be retained in his present capacity at a salary commensurate with the increased responsibilities enlargement of the fund would entail,21,semcor.d001.s081.t007,long,ADJ,long%3:00:02::,long#a#3,100
d002.s039,hudson now proposed to sail all the way through and test the seas beyond for the long sought waterway,14,semcor.d002.s039.t008,long,ADJ,long%3:00:02::,long#a#3,100
d002.s088,all through july the discovery picked her way along the 450 mile long strait avoiding ice and rocky islands,12,semcor.d002.s088.t004,long,ADJ,long%3:00:01::,long#a#3,100
d004.s020,the first result of heidenstam &apos;s long sojourn abroad was a volume of poems pilgrimage and wander years vallfart och vandringsar published in 1888,6,semcor.d004.s020.t003,long,ADJ,long%3:00:02::,long#a#3,100
d004.s045,his next major work completed in 1892 was a long fantastic epic in prose entitled hans alienus which professor bo o k describes as a monument on the grave of his carefree and indolent youth,9,semcor.d004.s045.t005,long,ADJ,long%3:00:01::,long#a#3,100
d004.s058,about one-third as long it is less intimate and detailed but better coordinated more concise and more dramatic,3,semcor.d004.s058.t002,long,ADJ,long%3:00:01::,long#a#3,100
d004.s083,in the king &apos;s ride &apos;&apos; charles breaks out of a long period of petulance and inertia regains his old self escapes from turkey and finally reaches his own land after an absence of eighteen years,10,semcor.d004.s083.t002,long,ADJ,long%3:00:02::,long#a#3,100
d005.s000,oersted &apos;s boyhood represented a minimal chance of either attaining greatness or serving his people so well and over so long a span of life,20,semcor.d005.s000.t012,long,ADJ,long%3:00:02::,long#a#3,100
d006.s080,private george gray hunter of pennsylvania wrote i am well convinced in my own mind that had it not been for officers this war would have ended long ago &apos;&apos;,25,semcor.d006.s080.t013,long,ADJ,long%3:00:02::,long#a#3,100
d007.s084,with our company of soldiers we made one long column of reddish dust,8,semcor.d007.s084.t004,long,ADJ,long%3:00:01::,long#a#3,100
d011.s018,the front windows of the place were long and narrow reaching nearly to the floor and affording an unusually good view of the interior,7,semcor.d011.s018.t004,long,ADJ,long%3:00:01::,long#a#3,100
d011.s156,the long minute before he reached effective cover seemed endless,1,semcor.d011.s156.t000,long,ADJ,long%3:00:02::,long#a#3,100
d016.s033,but that did not prevent him from writing more long letters or from coming to spend his christmas vacations with the hospitable lively szolds in their pleasant house on lombard street,9,semcor.d016.s033.t004,long,ADJ,long%3:00:01::,long#a#3,100
d017.s000,a man with a sketch pad in hand sat with a large pink woman in a small office at the end of a long dim corridor and made pencil lines on paper and said is this more like it mrs. macready,22,semcor.d017.s000.t010,long,ADJ,long%3:00:01::,long#a#3,100
d017.s037,or long fat suitcase for that matter,1,semcor.d017.s037.t000,long,ADJ,long%3:00:01::,long#a#3,100
d017.s040,but nothing it appeared long enough to attract attention,4,semcor.d017.s040.t002,long,ADJ,long%3:00:01::,long#a#3,100
d017.s050,a refuse bin at the dumont turned up a florist &apos;s box a very long box for very long stemmed flowers,13,semcor.d017.s050.t007,long,ADJ,long%3:00:01::,long#a#3,100
d017.s050,a refuse bin at the dumont turned up a florist &apos;s box a very long box for very long stemmed flowers,17,semcor.d017.s050.t010,long,ADJ,long%3:00:01::,long#a#3,100
d018.s009,and i done favors for you big favor not so long back did n&apos;t i and i &apos;m right here to take on where pretty left off,10,semcor.d018.s009.t005,long,ADJ,long%3:00:02::,long#a#3,100
d018.s031,that &apos;s a long while &apos;&apos; said angie,3,semcor.d018.s031.t001,long,ADJ,long%3:00:02::,long#a#3,100
d018.s100,she &apos;d be smart about it get him to give it to her in little bills so &apos;s nobody would suspect maybe could n&apos;t get it until monday account of that the banks but that was n&apos;t really long to wait,38,semcor.d018.s100.t014,long,ADJ,long%3:00:02::,long#a#3,100
d023.s028,he paused only long enough to ascertain that jess &apos;s buckskin was still missing and that his own gray was all right then climbed through a back window and dropped to the ground outside,3,semcor.d023.s028.t002,long,ADJ,long%3:00:02::,long#a#3,100
d023.s075,that long ride the four of you took must &apos;ve given him a good appetite,1,semcor.d023.s075.t000,long,ADJ,long%3:00:02::,long#a#3,100
d025.s130,later she apologized for the long scratch across his face tried to explain she could n&apos;t help herself that the panic arose in her unwanted,5,semcor.d025.s130.t002,long,ADJ,long%3:00:01::,long#a#3,100
d027.s071,in the city he said the waiting list for those who want to join the union is so long that unless a boy has an inside track he can n&apos;t get in,17,semcor.d027.s071.t007,long,ADJ,long%3:00:02::,long#a#3,100
d028.s108,he knelt down at his bed as long as he could kneel,7,semcor.d028.s108.t003,long,ADJ,long%3:00:02::,long#a#3,100
d028.s142,whether any of us remain in it long will depend on what happens as a result of the technological and economic revolutions now going on in the countries of asia and africa and also of course on how long the cold war remains cold,7,semcor.d028.s142.t001,long,ADJ,long%3:00:02::,long#a#3,100
d028.s142,whether any of us remain in it long will depend on what happens as a result of the technological and economic revolutions now going on in the countries of asia and africa and also of course on how long the cold war remains cold,35,semcor.d028.s142.t014,long,ADJ,long%3:00:02::,long#a#3,100
d029.s002,these polar concerns imitation vs. formalism reflect a philosophical and religious situation which has been developing over a long period of time,18,semcor.d029.s002.t008,long,ADJ,long%3:00:02::,long#a#3,100
d031.s002,there is a parallel to this tendency in the assignment of time in long known hymn tunes,13,semcor.d031.s002.t004,long,ADJ,long%3:00:02::,long#a#3,100
d032.s019,he took a long but carefully controlled draught,3,semcor.d032.s019.t000,long,ADJ,long%3:00:02::,long#a#3,100
d032.s142,his long nose wiggled at the smells of frizzling bacon and heating java but the fire was low and he wanted to waste no time,1,semcor.d032.s142.t000,long,ADJ,long%3:00:01::,long#a#3,100
d032.s149,he drew a long breath and opened the trunk and hung out her clothes and spoilables upon the wagon ribs,3,semcor.d032.s149.t001,long,ADJ,long%3:00:02::,long#a#3,100
d033.s058,this procedure is extremely shortsighted in chronic labor surplus areas with a long history of declining employment,12,semcor.d033.s058.t008,long,ADJ,long%3:00:02::,long#a#3,100
d034.s000,maude &apos;s long nose unexpectedly wrinkled up,2,semcor.d034.s000.t001,long,ADJ,long%3:00:01::,long#a#3,100
d034.s020,at the door she turned back her roman nose looking very long now and satiric,10,semcor.d034.s020.t006,long,ADJ,long%3:00:01::,long#a#3,100
d034.s090,it was a long low room like a root cellar for it was banked up with soil and vines had run rampant over that too,3,semcor.d034.s090.t001,long,ADJ,long%3:00:01::,long#a#3,100
d036.s102,if companies will take the time to give objective consideration to their major problems and to the questions they provoke then a long constructive step will have been taken toward more effective marketing in next decade,22,semcor.d036.s102.t011,long,ADJ,long%3:00:01::,long#a#3,100
d037.s043,as he informs watson my life is spent in one long effort to escape from the commonplaces of existence,10,semcor.d037.s043.t005,long,ADJ,long%3:00:02::,long#a#3,100
d039.s022,in a book review of the soviet cultural offensive &apos;&apos; he says long before the state department organized its bureaucracy into an east-west contacts staff in order to wage a cultural counter-offensive within soviet borders the sharp cutting-edge of american culture had carved its mark across the russian steppes as when the enterprising promoters of &apos; porgy and bess &apos; overrode the state department to carry the contemporary &apos; cultural warfare &apos; behind the enemy lines,12,semcor.d039.s022.t003,long,ADJ,long%3:00:02::,long#a#3,100
