sent_id,sent,word_num,un_id,lemma,pos_tag,sense_key,sense_number,hom_type,hom_id,bert_sent
d000.s004,have you set specific objectives for your employee publication,2,semcor.d000.s004.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,have you set specific objectives for your employee publication
d000.s011,when improvements are recommended in working conditions such as lighting rest rooms eating facilities air-conditioning do you try to set a measure of their effectiveness on productivity,18,semcor.d000.s011.t009,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,as lighting rest rooms eating facilities air-conditioning do you try to set a measure of their effectiveness on productivity
d007.s034,mortars had demolished the defense ministry and set fire to the american embassy next door,7,semcor.d007.s034.t004,set,VERB,set%2:36:12::,set#v#2,100,set#v#2#100,mortars had demolished the defense ministry and set fire to the american embassy next door
d030.s046,then o &apos; banion was presented with a platinum watch set with rubies and diamonds,8,semcor.d030.s046.t005,set,VERB,set%2:35:02::,set#v#2,100,set#v#2#100,then o &apos; banion was presented with a platinum watch set with rubies and diamonds
d032.s023,she set the dipper on the edge of the deck leaving it for him to stretch after it while she looked on scornfully,1,semcor.d032.s023.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,she set the dipper on the edge of the deck leaving
d038.s031,she was wearing a brown cotton dress cut across the hips in a way that was supposed to make her look slimmer a yoke set into the skirt and flaring pleats below,24,semcor.d038.s031.t012,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,that was supposed to make her look slimmer a yoke set into the skirt and flaring pleats below
d040.s002,gun set the captain &apos;s fifth of hiram walker inside the safe before he reported to lt. killpath though he knew that killpath &apos;s ulcer prevented him from making any untoward incursion on herman wolff &apos;s gift,1,semcor.d040.s002.t001,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,gun set the captain &apos;s fifth of hiram walker inside the
d043.s077,and here again we hear the same refrain mentioned above the paramount goal of the united states set long ago was to guard the rights of the individual ensure his development enlarge his opportunity &apos;&apos;,16,semcor.d043.s077.t009,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,same refrain mentioned above the paramount goal of the united states set long ago was to guard the rights of
d046.s036,in the primary grades reading permeates almost every aspect of school progress and the children &apos;s early experiences of success or failure in learning to read often set a pattern of total achievement that is relatively enduring throughout the following years,27,semcor.d046.s036.t016,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,experiences of success or failure in learning to read often set a pattern of total achievement that is relatively enduring
d052.s022,besides showing no inclination apparently to absent himself from his native region even for short periods and in addition writing a shelf of books set in the region he has handled in those books an astonishingly complete list of matters which have been important in the south during the past hundred years,24,semcor.d052.s022.t012,set,VERB,set%2:36:01::,set#v#2,100,set#v#2#100,short periods and in addition writing a shelf of books set in the region he has handled in those books
d052.s033,a useful comment on his relation to his region may be made i think by noting briefly how in handling southern materials and southern problems he has deviated from the pattern set by other southern authors while remaining faithful to the essential character of the region,31,semcor.d052.s033.t014,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,materials and southern problems he has deviated from the pattern set by other southern authors while remaining faithful to the
d052.s051,augustus baldwin longstreet a preacher and a college and university president in four southern states published the earliest of these backwoods sketches and in the character ransy sniffle in the accounts of sharp horse-trading and eye gouging physical combat and in the shockingly unliterary speech of his characters he set an example followed by many after him,46,semcor.d052.s051.t024,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,gouging physical combat and in the shockingly unliterary speech of his characters he set an example followed by many after
d062.s035,askington was a kind of goal i set myself i had admired him long before i talked to him,7,semcor.d062.s035.t004,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,askington was a kind of goal i set myself i had admired him long before i talked
d062.s037,the night we first met at one of mrs. monmouth &apos;s giant parties he was wearing a brown cashmere jacket with silver buttons and a soft pink viyella shirt instead of a necktie he wore a leather bolo drawn through a golden ring in which was set a lump of pale pure jade,45,semcor.d062.s037.t024,set,VERB,set%2:35:02::,set#v#2,100,set#v#2#100,a leather bolo drawn through a golden ring in which was set a lump of pale pure jade
d062.s038,this set his tone richness of texture and color and another kind of richness as well for his clothing and decorations would have paid the brush-off &apos;s rent for a year,1,semcor.d062.s038.t000,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,this set his tone richness of texture and color and another
d073.s015,the act further provides for a floor &apos;&apos; or minimum allotment set at the 1954 level which is called the base &apos;&apos; allotment and a ceiling &apos;&apos; or maximum allotment for each state,11,semcor.d073.s015.t005,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,act further provides for a floor &apos;&apos; or minimum allotment set at the 1954 level which is called the base
d076.s116,the legation was generously set back from the building line if the angle of fire were too great the jutting buildings on either side would interfere,4,semcor.d076.s116.t002,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,the legation was generously set back from the building line if the angle of
d078.s089,the work had its beginning in 1938 with an eight bar musical strain to which koehler set the words there &apos;ll be no more work there &apos;ll be no more worry &apos;&apos; matching the spiritual feeling of the jot,16,semcor.d078.s089.t007,set,VERB,set%2:36:00::,set#v#2,100,set#v#2#100,1938 with an eight bar musical strain to which koehler set the words there &apos;ll be no more work there
d084.s081,the bodice beneath was buttoned and withdrawing his lips from hers he set her upright on his knee and started to undo it unhurriedly as if she were a child,12,semcor.d084.s081.t005,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,beneath was buttoned and withdrawing his lips from hers he set her upright on his knee and started to undo
d088.s004,these areas by virtue of their abrupt density of pattern stated the literal surface with such new and superior force that the resulting contrast drove the simulated printing into a depth from which it could be rescued and set to shuttling again only by conventional perspective that is by being placed in such relation to the forms depicted within the illusion that these forms left no room for the typography except near the surface,38,semcor.d088.s004.t016,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,into a depth from which it could be rescued and set to shuttling again only by conventional perspective that is
d123.s004,it appears possible to set a lower limit of about f for the activation energy of the abstraction of a chlorine atom from a carbon tetrachloride molecule by a chlorine atom to form f radical,4,semcor.d123.s004.t002,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,it appears possible to set a lower limit of about f for the activation
d126.s040,the rangy albany cal. native a surprise slugging sensation for the flock last year as well as a defensive whiz set improved fielding &apos;&apos; as his 1961 goal,19,semcor.d126.s040.t013,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,for the flock last year as well as a defensive whiz set improved fielding &apos;&apos; as his 1961 goal
d126.s067,george kerr the swift striding jamaican set a meet record in the 600 yard run in the knights of columbus track meet tonight beating purdue &apos;s dave mills in a hot duel in 1.10.1,5,semcor.d126.s067.t003,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,george kerr the swift striding jamaican set a meet record in the 600 yard run
d126.s068,kerr who set the world record earlier this month in new york with a clocking of 1.09.3 wiped out mills &apos;s early pace and beat the young big 10 quarter-mile king by 5 yards,2,semcor.d126.s068.t001,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,kerr who set the world record earlier this month in new york
d126.s069,both were under the meet mark of 1.10.8 set in 1950 by mal whitfield,8,semcor.d126.s069.t003,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,both were under the meet mark of 1.10.8 set in 1950 by mal whitfield
d126.s075,she snapped five tenths of a second off the mark set by helen shipley of wellsley college in the national a.a.u. meet in columbus ohio,10,semcor.d126.s075.t005,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,she snapped five tenths of a second off the mark set by helen shipley of wellsley college in the national
d132.s054,but he set a bound to his state of sin by interposing death and thus causing sin to cease putting an end to it by the dissolution of the flesh which should take place in the earth so that man ceasing at length to live in sin and dying to it might live to god &apos;&apos;,2,semcor.d132.s054.t000,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,but he set a bound to his state of sin by interposing
d135.s000,pueri aquam de silvas ad agricolas portant a delightful vignette set in the unforgettable epoch of pre punic war rome,4,semcor.d135.s000.t003,set,VERB,set%2:36:01::,set#v#2,100,set#v#2#100,pueri aquam de silvas ad agricolas portant a delightful vignette set in the unforgettable
d135.s044,a biting pithy parable of the all pervading hollowness of modern life the piece has been set by mlle lagoon to a sumptuous score a single motif played over and over by four thousand french horns by existentialist hot-shot jean-paul sartre,16,semcor.d135.s044.t008,set,VERB,set%2:36:00::,set#v#2,100,set#v#2#100,all pervading hollowness of modern life the piece has been set by mlle lagoon to a sumptuous score a single
d136.s002,when sufficiently accurate and complete measurements are available it will be possible to set limits on the thermal and electrical characteristics of the surface and subsurface materials of the moon,13,semcor.d136.s002.t007,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,and complete measurements are available it will be possible to set limits on the thermal and electrical characteristics of the
d137.s047,the west texan reported that he had finally gotten chairman bill hollowell of the committee to set it for public hearing on feb. 22,13,semcor.d137.s047.t005,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,reported that he had finally gotten chairman bill hollowell of the committee to set it for public hearing on feb.
d140.s091,as kate came swiftly down the stairs to the hall she saw colonel marsh framed in the doorway his face set in the same vulnerable look juanita wore,18,semcor.d140.s091.t010,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,the hall she saw colonel marsh framed in the doorway his face set in the same vulnerable look juanita wore
d141.s073,winston apologized and quickly set the hat right,4,semcor.d141.s073.t003,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,winston apologized and quickly set the hat right
d147.s030,when they have 4 to 6 leaves and are thrifty little plants it &apos;s time to set them out where they are to remain,16,semcor.d147.s030.t010,set,VERB,set%2:35:09::,set#v#2,100,set#v#2#100,leaves and are thrifty little plants it &apos;s time to set them out where they are to remain
d147.s039,one year i simply set the plants in the remains of a compost pile to which a little sand had been added and i had the most beautiful pansies in my or any of my neighbors &apos; experience,4,semcor.d147.s039.t003,set,VERB,set%2:35:09::,set#v#2,100,set#v#2#100,one year i simply set the plants in the remains of a compost pile
d147.s056,that cold frame was my morale builder its mass of bright bloom set in a border of snow made my spirits rise every time i looked at it,10,semcor.d147.s056.t006,set,VERB,set%2:35:02::,set#v#2,100,set#v#2#100,that cold frame was my morale builder its mass of bright bloom set in a border of snow made my
d157.s017,j. wheaton smith editor of the warren telegraph stated that the ends of justice must be satisfied a solitary example must be set in order that all those misnamed philantropists sic who actuated by a blind zeal dare to instigate riot treason and murder may heed it and shape their future course accordingly &apos;&apos;,19,semcor.d157.s017.t008,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,that the ends of justice must be satisfied a solitary example must be set in order that all those misnamed
d158.s079,in a sense the showdown promised by mr. hammarskjold &apos;s sudden and tragic death has been avoided no precedents have been set as yet structurally the u.n. is still fluid vulnerable to the pressures that its new and enlarged membership are bringing to bear upon it,20,semcor.d158.s079.t008,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,sudden and tragic death has been avoided no precedents have been set as yet structurally the u.n. is still fluid
d159.s029,the plants along route 128 are mostly well designed and nicely set against the new england rocks and trees,10,semcor.d159.s029.t005,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,the plants along route 128 are mostly well designed and nicely set against the new england rocks and trees
d161.s050,i set the hour of our meeting for seven,1,semcor.d161.s050.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,i set the hour of our meeting for seven
d164.s046,she filled a big pitcher and set it with glasses on a tray,6,semcor.d164.s046.t003,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,she filled a big pitcher and set it with glasses on a tray
d171.s047,they set bouncing betties to jump and explode at testicle level while we more mercifully had them go off at the head,1,semcor.d171.s047.t000,set,VERB,set%2:30:02::,set#v#2,100,set#v#2#100,they set bouncing betties to jump and explode at testicle level
d173.s001,the wife amra and her lover are both savagely portrayed she as incarnate sensuality voluptuous &apos;&apos; and indolent &apos;&apos; possibly a mischief maker &apos;&apos; with a kind of luxurious cunning &apos;&apos; to set against her apparent simplicity her bird like brain &apos;&apos;,32,semcor.d173.s001.t014,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,maker &apos;&apos; with a kind of luxurious cunning &apos;&apos; to set against her apparent simplicity her bird like brain &apos;&apos;
d185.s068,this team set a precedent that could be valuable in the future &apos;&apos; benington pointed out,2,semcor.d185.s068.t001,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,this team set a precedent that could be valuable in the future
d196.s024,open societies can take many forms and within very broad limits recipients must be free to set their own goals and to devise their own institutions to achieve those goals,16,semcor.d196.s024.t002,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,and within very broad limits recipients must be free to set their own goals and to devise their own institutions
d196.s071,the extent to which we can persuade the less developed countries to appraise their own resources to set targets toward which they should be working to establish in the light of this forward perspective the most urgent priorities for their immediate attention and to do the other things which they must do to help themselves all on a realistic long-term basis will depend importantly on the incentives we place before them,17,semcor.d196.s071.t002,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,the less developed countries to appraise their own resources to set targets toward which they should be working to establish
d199.s042,the fixed window panels with louvers should have a good grade of 1 8 inch double-strength glass set in a mastic glazing compound,17,semcor.d199.s042.t001,set,VERB,set%2:35:02::,set#v#2,100,set#v#2#100,have a good grade of 1 8 inch double-strength glass set in a mastic glazing compound
d199.s093,the depth gauge rod can now be set and any number of holes bored to exact and identical depth,7,semcor.d199.s093.t000,set,VERB,set%2:30:02::,set#v#2,100,set#v#2#100,the depth gauge rod can now be set and any number of holes bored to exact and
d201.s093,the only factors that are personally set by the choreographer are the movements themselves the number of the dancers and the approximate total duration of the dance,6,semcor.d201.s093.t000,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,the only factors that are personally set by the choreographer are the movements themselves the number
d202.s027,by fixing the tax rate in advance of spending upper limits are set on expenditures,12,semcor.d202.s027.t001,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,the tax rate in advance of spending upper limits are set on expenditures
d204.s064,trim excess clay from around lip of mold and set aside while assembling lid,9,semcor.d204.s064.t001,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,trim excess clay from around lip of mold and set aside while assembling lid
d207.s026,the letters set a nov. 15 deadline for the start of negotiations,2,semcor.d207.s026.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,the letters set a nov. 15 deadline for the start of negotiations
d207.s066,a hearing was set for 8 30 a. m. tuesday,3,semcor.d207.s066.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,a hearing was set for 8 30 a. m. tuesday
d214.s046,a preview party for sponsors of the event and for the artists is set for april 8,13,semcor.d214.s046.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,for sponsors of the event and for the artists is set for april 8
d223.s004,a plume of smoke rose from a central vermont locomotive which idled behind a string of gravel cars and little figures that were workmen labored to set the ruptured roadbed to rights,26,semcor.d223.s004.t004,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,gravel cars and little figures that were workmen labored to set the ruptured roadbed to rights
d223.s068,concord learned to set its clocks by the rackety bark of the whirlwind &apos;s exhaust overhead,3,semcor.d223.s068.t001,set,VERB,set%2:30:02::,set#v#2,100,set#v#2#100,concord learned to set its clocks by the rackety bark of the whirlwind
d236.s057,the pocket-size &apos;&apos; company set records with 2170 in sales of its products a selection of barbecue spices and paid stockholders a 20 per cent dividend on their investment,4,semcor.d236.s057.t000,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,the pocket-size &apos;&apos; company set records with 2170 in sales of its products a
d242.s005,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 21 st day of april in the year of our lord one thousand nine hundred and sixty-one and on independence the one hundred and eighty-fifth,6,semcor.d242.s005.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
d242.s015,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 17 th day of may in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s015.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
