sent_id,sent,word_num,un_id,lemma,pos_tag,sense_key,sense_number,hom_type
d000.s004,have you set specific objectives for your employee publication,2,semcor.d000.s004.t000,set,VERB,set%2:32:00::,set#v#2,100
d000.s011,when improvements are recommended in working conditions such as lighting rest rooms eating facilities air-conditioning do you try to set a measure of their effectiveness on productivity,18,semcor.d000.s011.t009,set,VERB,set%2:32:00::,set#v#2,100
d007.s034,mortars had demolished the defense ministry and set fire to the american embassy next door,7,semcor.d007.s034.t004,set,VERB,set%2:36:12::,set#v#2,100
d030.s046,then o &apos; banion was presented with a platinum watch set with rubies and diamonds,8,semcor.d030.s046.t005,set,VERB,set%2:35:02::,set#v#2,100
d032.s023,she set the dipper on the edge of the deck leaving it for him to stretch after it while she looked on scornfully,1,semcor.d032.s023.t000,set,VERB,set%2:35:00::,set#v#2,100
d038.s031,she was wearing a brown cotton dress cut across the hips in a way that was supposed to make her look slimmer a yoke set into the skirt and flaring pleats below,24,semcor.d038.s031.t012,set,VERB,set%2:35:00::,set#v#2,100
d040.s002,gun set the captain &apos;s fifth of hiram walker inside the safe before he reported to lt. killpath though he knew that killpath &apos;s ulcer prevented him from making any untoward incursion on herman wolff &apos;s gift,1,semcor.d040.s002.t001,set,VERB,set%2:35:00::,set#v#2,100
d043.s077,and here again we hear the same refrain mentioned above the paramount goal of the united states set long ago was to guard the rights of the individual ensure his development enlarge his opportunity &apos;&apos;,16,semcor.d043.s077.t009,set,VERB,set%2:31:04::,set#v#2,100
d046.s036,in the primary grades reading permeates almost every aspect of school progress and the children &apos;s early experiences of success or failure in learning to read often set a pattern of total achievement that is relatively enduring throughout the following years,27,semcor.d046.s036.t016,set,VERB,set%2:31:04::,set#v#2,100
d052.s022,besides showing no inclination apparently to absent himself from his native region even for short periods and in addition writing a shelf of books set in the region he has handled in those books an astonishingly complete list of matters which have been important in the south during the past hundred years,24,semcor.d052.s022.t012,set,VERB,set%2:36:01::,set#v#2,100
d052.s033,a useful comment on his relation to his region may be made i think by noting briefly how in handling southern materials and southern problems he has deviated from the pattern set by other southern authors while remaining faithful to the essential character of the region,31,semcor.d052.s033.t014,set,VERB,set%2:31:04::,set#v#2,100
d052.s051,augustus baldwin longstreet a preacher and a college and university president in four southern states published the earliest of these backwoods sketches and in the character ransy sniffle in the accounts of sharp horse-trading and eye gouging physical combat and in the shockingly unliterary speech of his characters he set an example followed by many after him,46,semcor.d052.s051.t024,set,VERB,set%2:32:01::,set#v#2,100
